1000 2
2 1 
9 11 2
3 6 2
0 3 1
19 21 2
11 14 2
2 5 2
10 13 1
16 19 2
14 17 1
21 1 1
11 13 2
0 3 2
2 6 1
4 8 1
5 7 2
21 1 2
17 19 2
19 21 1
11 15 1
1 2 2
2 4 2
5 7 1
5 8 1
10 13 2
1 4 2
13 18 1
8 13 2
2 5 1
23 3 2
2 4 1
10 12 1
7 10 1
16 19 2
20 22 1
9 11 1
21 0 1
2 5 2
3 6 1
14 16 2
5 10 2
20 23 2
22 3 1
11 13 2
21 1 1
20 23 1
12 14 2
20 22 2
1 4 1
3 6 1
19 19 1
16 19 2
2 3 2
0 3 1
0 3 2
13 18 1
17 20 1
8 14 2
14 18 1
6 11 1
9 12 1
2 4 1
23 2 2
0 1 1
3 4 1
15 17 2
22 1 1
20 23 1
10 12 1
2 5 1
5 6 1
9 13 2
22 3 1
7 11 2
11 14 1
0 4 2
11 15 2
18 22 2
7 10 2
18 21 2
20 2 1
16 20 1
21 1 2
21 1 1
0 4 2
2 7 1
3 4 2
20 23 2
4 6 2
23 1 1
13 17 1
18 20 1
4 8 1
2 7 1
9 11 2
5 7 1
2 5 2
6 8 1
8 10 2
19 22 1
13 16 1
18 20 1
2 5 1
15 18 2
15 18 2
12 15 1
15 19 2
5 9 2
2 6 2
17 19 2
22 0 1
2 5 1
13 15 1
20 23 1
6 10 1
17 21 2
2 6 2
17 21 2
15 17 2
8 11 2
3 7 1
2 3 2
20 22 2
4 8 2
15 17 1
17 20 2
0 2 1
10 12 2
20 0 2
12 15 2
4 7 1
19 22 2
12 15 2
2 5 1
1 4 1
22 2 2
14 17 1
12 16 1
15 20 2
17 21 2
19 21 1
9 13 2
1 4 1
11 14 1
21 0 2
12 16 2
12 15 1
22 0 1
21 23 1
9 13 2
0 2 1
0 3 1
4 7 2
10 11 1
17 21 1
9 12 1
16 20 2
23 3 2
3 7 1
10 13 1
14 16 2
14 16 1
3 6 2
6 9 2
13 18 1
17 20 2
1 6 1
9 11 1
15 17 2
20 23 1
19 22 1
1 5 2
6 8 1
1 3 2
15 18 1
17 20 1
16 19 2
17 21 2
16 18 2
2 4 2
22 1 1
4 8 2
14 17 1
0 3 2
22 1 2
17 21 2
9 15 1
2 5 2
11 12 1
9 11 1
7 10 2
11 12 1
7 10 2
8 11 1
8 11 1
11 12 1
9 13 2
8 10 2
7 12 2
1 3 2
12 16 2
14 16 2
20 23 2
0 3 1
11 13 1
2 5 1
0 3 1
8 12 2
5 10 1
0 3 2
12 14 1
10 13 2
11 14 2
2 5 1
22 23 2
17 20 1
9 11 1
20 0 1
22 0 2
15 17 2
3 6 1
12 16 2
21 0 2
4 6 2
5 7 1
2 7 2
4 7 1
13 15 2
6 8 1
7 10 2
5 8 2
20 23 2
8 11 1
7 10 2
6 11 2
7 12 1
18 22 1
13 15 1
15 17 1
7 9 2
9 11 2
11 13 1
6 7 1
8 11 2
23 1 2
8 11 1
6 8 1
17 19 1
9 13 1
20 23 1
17 21 1
3 5 1
16 19 2
19 23 2
18 21 2
18 22 2
7 10 2
15 19 1
10 13 2
18 21 2
20 0 1
3 7 1
11 13 1
17 20 2
16 19 2
5 8 2
12 15 1
23 3 1
4 8 2
16 18 1
20 22 2
2 5 2
18 22 2
17 20 2
22 0 2
23 2 1
7 11 2
17 20 2
19 22 2
14 17 2
12 14 1
18 22 1
16 19 1
11 15 2
22 1 2
3 7 1
2 6 2
5 8 1
12 15 1
20 1 2
12 16 2
9 13 2
1 5 1
8 11 1
15 17 2
20 21 2
9 12 2
0 3 1
14 16 2
3 6 1
18 20 2
20 23 2
23 1 2
4 6 2
6 10 1
3 4 1
17 20 2
6 9 1
15 17 2
11 14 2
12 15 1
11 14 2
23 1 2
2 4 2
7 10 1
7 12 2
14 16 2
7 10 1
4 6 1
12 17 1
1 4 2
13 17 2
17 20 1
5 7 1
9 12 2
0 2 2
0 3 1
3 5 2
22 0 1
15 18 2
21 22 1
18 20 1
6 9 1
4 8 2
9 11 1
2 5 2
8 11 1
23 2 1
5 9 1
10 14 2
3 6 1
2 5 1
23 3 2
14 17 1
18 21 2
4 8 2
13 16 2
8 10 1
9 10 1
11 14 2
21 23 1
0 0 2
10 13 1
20 23 2
3 4 1
22 0 1
10 13 2
6 7 2
12 14 2
10 14 1
0 3 2
7 10 1
22 1 2
19 22 1
17 20 2
11 14 1
5 10 2
3 4 2
12 16 1
11 14 1
12 14 2
22 0 1
14 17 1
21 0 1
18 21 2
13 16 2
8 11 1
4 8 1
13 15 2
4 7 2
22 23 1
23 3 2
17 20 2
1 6 1
7 10 2
23 3 2
16 19 1
9 12 1
15 18 1
20 0 2
23 1 2
9 11 2
12 15 2
13 16 2
15 18 2
14 17 2
11 15 1
22 0 1
12 14 1
10 14 1
18 20 2
6 10 2
4 8 2
7 10 2
11 13 2
22 1 2
17 19 2
23 1 2
0 3 2
23 1 2
10 13 1
12 16 2
4 7 2
9 13 2
0 3 1
19 22 2
11 12 1
6 8 2
1 4 2
14 15 1
13 15 2
18 21 1
22 1 1
19 21 2
1 4 1
2 6 1
